source_id,title,authors,year,source_type,venue,url_or_doi,raw_path,processed_path,tags,relevance_note
Perry2023,Do Users Write More Insecure Code with AI Assistants?,"Perry, N. et al.",2023,paper,CCS,https://doi.org/10.1145/3576915.3623157,data/raw/Do Users Write More Insecure Code with AI Assistants?.pdf,,"Security,User_Study",Found users write less secure code with AI assistants.
Yetistiren2023,Evaluating the Code Quality of AI-Assisted Code Generation Tools,"Yetiştiren, B. et al.",2023,paper,SQAMIA,https://arxiv.org/abs/2304.10778,data/raw/Evaluating the Code Quality of AI-Assisted Code Generation.pdf,,"Quality,Benchmarking","Compares Copilot, CodeWhisperer, and ChatGPT on code quality metrics."
Barke2023,Grounded Copilot: How Programmers Interact with Code-Generating Models,"Barke, S. et al.",2023,paper,OOPSLA,https://doi.org/10.1145/3586030,data/raw/Grounded Copilot- How Programmers Interact with Code-Generating Models.pdf,,"HCI,Interaction_Modes",Defines acceleration vs exploration modes in AI-assisted programming.
Peng2023,The Impact of AI on Developer Productivity: Evidence from GitHub Copilot,"Peng, S. et al.",2023,paper,arXiv,https://arxiv.org/abs/2302.06590,data/raw/The Impact of AI on Developer Productivity- Evidence from GitHub Copilot.pdf,,"Productivity,Quantitative",Controlled experiment showing 55.8% speedup with Copilot.
Liang2024,A Large-Scale Survey on the Usability of AI Programming Assistants,"Liang, J. et al.",2024,paper,ICSE,https://doi.org/10.1145/3597503.3639155,data/raw/A Large-Scale Survey.pdf,,"Usability,Survey",Survey of 410 developers on successes and challenges of AI tools.
Pearce2022,Asleep at the Keyboard? Assessing the Security of GitHub Copilot’s Code Contributions,"Pearce, H. et al.",2022,paper,IEEE S&P,https://doi.org/10.1109/SP46214.2022.9833571,data/raw/Asleep at the Keyboard?.pdf,,"Security,Vulnerabilities",Found 40% of generated code contained security vulnerabilities.
Jia2025,Automated Repair of Ambiguous Problem Descriptions for LLM-Based Code Generation,"Jia, H. et al.",2025,paper,arXiv,https://arxiv.org/abs/2401.16335,data/raw/Automated Repair.pdf,,"Ambiguity,Prompt_Engineering",Discusses repairing ambiguous descriptions to improve generation.
Vaithilingam2022,Expectation vs. Experience: Evaluating the Usability of Code Generation Tools,"Vaithilingam, P. et al.",2022,paper,CHI,https://doi.org/10.1145/3491101.3519665,data/raw/Expectation vs. Experience.pdf,,"Usability,Debugging",Users prefer Copilot but struggle with debugging generated code.
Hashmi2024,Generative AI's impact on programming students: frustration and confidence,"Hashmi, N. et al.",2024,paper,IIS,https://iacis.org/iis/2024/3_iis_2024_371-385.pdf,data/raw/Generative AI's impact on programming students.pdf,,"Education,Psychology",Impact of AI on student confidence and frustration.
Choudhuri2024,How Far Are We? The Triumphs and Trials of Generative AI in Learning Software Engineering,"Choudhuri, R. et al.",2024,paper,ICSE,https://doi.org/10.1145/3597503.3639086,data/raw/How Far Are We?.pdf,,"Education,Skill_Decay",AI in SE education: productivity vs frustration and learning outcomes.
Kabir2024,Is Stack Overflow Obsolete? An Empirical Study of the Characteristics of ChatGPT Answers,"Kabir, S. et al.",2024,paper,ESE,https://arxiv.org/abs/2308.02312,data/raw/Is Stack Overflow Obsolete.pdf,,"Quality,Correctness",52% of ChatGPT answers contain incorrect information.
Yang2024,Rust-lancet: Automated Ownership-Rule-Violation Fixing with Behavior Preservation,"Yang, W. et al.",2024,paper,ICSE,https://doi.org/10.1145/3597503.3639103,data/raw/Need Help?.pdf,,"Code_Repair,Rust,Automated_Fixing",Automated fixing of ownership rule violations in Rust using LLMs/Tools.
Mozannar2024,Reading Between the Lines: Modeling User Behavior and Costs in AI-Assisted Programming,"Mozannar, H. et al.",2024,paper,CHI,https://arxiv.org/abs/2210.14306,data/raw/Reading Between the Lines.pdf,,"Productivity,Cognitive_Load",Models the cost of validating/modifying AI code.
Weber2024,Significant Productivity Gains through Programming with Large Language Models,"Weber, T. et al.",2024,paper,EICS,https://doi.org/10.1145/3661145,data/raw/Significant Productivity Gains.pdf,,"Productivity,Quantitative",Controlled experiment showing productivity gains.
Hou2024,The Effects of Generative AI on Computing Students' Help-Seeking Preferences,"Hou, I. et al.",2024,paper,arXiv,https://arxiv.org/abs/2401.02262,data/raw/The Effects of Generative AI on Computing Students.pdf,,"Education,Help_Seeking",Investigates student help-seeking behaviors with GenAI.
